卫生间	装修_毛	容积率_	绿化率_	物业费_	面积	地铁	学校	X	Y	建造年	房价
1	2	2	0.3	3.98	69.8	10029.23165	1151.8354	475747.602	4451049.489	41	212
2	2	2.26	0.31	1.78	140.7	368.9386929	234.5951857	441183.7153	4410839.958	28	500
1	2	1.8	0.3	0.5	89	931.3412071	216.8253707	466240.5335	4417716.139	36	280
1	2	1.6	0.34	2.6	102.7	6817.941592	788.0635353	469793.5837	4448221.713	23	206
1	2	0.6	0.4	4.2	89	8721.570166	1306.079347	426037.4342	4446927.425	36	280
1	1	1.5	0.31	1.2	101	230.5731767	458.8614542	457811.7503	4417712.656	36	409
1	1	1.2	0.4	2.2	54.3	1318.469348	440.4881834	436343.1552	4445402.446	29	262
2	2	3.9	0.33	3	104.5	1269.15428	74.41562081	457330.4697	4419958.431	31	755
2	2	1.95	0.3	2.4	104.5	377.2106678	581.2099784	452282.5279	4410353.902	31	755
4	3	3	0.45	6	293	1570.816778	533.8545461	458763.7364	4419789.993	36	3000
1	0	1.25	0.42	0.7	93.3	5625.564393	1349.544025	419323.1893	4390029.24	31	1350
1	2	1.5	0.35	2.65	95.5	3921.660459	588.0557414	419253.3939	4391743.085	35	223
1	2	1.6	0.42	0.4	85	1801.855507	772.065261	432910.9625	4402958.39	24	320
2	2	1.2	0.3	0.9	129	678.9421279	771.1879326	434868.4443	4424603.273	25	1200
3	1	2.02	0.3	1.82	253	1116.329773	433.1039896	432552.1643	4400796.244	27	1490
1	2	2.2	0.24	1.3	95.5	883.3168387	293.9960938	431521.0176	4401959.873	35	223
2	2	2	0.3	2.4	128	2249.964852	639.4406154	434471.2501	4449650.335	37	835
5	2	1.8	0.3	0.8	544.4	1178.350742	93.83779046	435100.9134	4451264.298	27	1829
2	2	1.6	0.36	2	128	2660.209925	888.903259	450898.3276	4439566	21	828
1	2	1	0.3	0.8	109.3	3583.876623	919.1273877	450176.105	4442145.41	20	320
4	0	0.41	0.53	5.81	556.6	4607.916218	490.5668251	449517.9327	4443322.846	36	1800
1	1	1.5	0.35	2.8	87	3179.797394	638.4991181	450626.285	4442256.211	34	410
3	1	0.8	0.3	2	171.9	354.2166219	408.7041164	453219.2027	4439738.362	20	650
1	2	1.51	0.38	1.3	114.9	3944.638703	846.5588569	449648.9127	4440210.948	30	410
2	2	1.5	0.35	1	94.9	2653.817924	890.1327515	450963.9166	4439081.103	21	368
1	2	1.4	0.37	1.3	85.3	3375.135592	380.9912041	449916.2953	4439553.832	25	362
2	2	1	0.4	1	125	4182.976743	954.69778	449020.6409	4440524.661	21	425
3	1	0.5	0.6	1.85	183	3263.727724	1536.16773	448471.1046	4439587.86	16	830
1	2	1.4	0.3	0.5	112.3	4329.031775	1112.914412	449368.5743	4441879.383	17	325
2	2	1	0.6	1	308.5	5259.190869	961.9160824	447384.3584	4441390.31	40	1283
1	2	1.4	0.3	0.5	82	3964.884543	1270.538189	449751.8553	4441975.3	21	270
3	2	1.5	0.3	6.08	160	1464.228879	1045.496975	454967.591	4440049.012	40	710
2	1	1.4	0.5	1	119	3922.696407	885.2819117	449752.025	4440972.092	21	405
1	2	1.3	0.3	1.8	65.6	2664.117609	633.73553	451076.0389	4440607.845	34	285
1	1	1.2	0.6	1.5	115.1	3180.830285	1300.840399	448819.7138	4439528.195	16	360
1	1	0.3	0.65	4.25	284.8	611.0126336	798.0581075	453737.8453	4440704.475	25	1550
6	2	2.8	0.35	2.4	592.3	949.514385	229.6255227	434484.6233	4451222.046	33	3000
1	2	1.3	0.4	1.35	90.3	3990.544307	1320.165143	449678.4844	4441576.59	23	355
1	1	2.5	0.3	3.62	102.3	2507.680932	170.254616	445539.2008	4438741.375	38	528
4	2	0.8	0.6	1.96	307.3	4880.520953	386.6148331	449930.9758	4444448.601	21	1350
1	2	1.38	0.36	1.6	85.5	3732.374323	536.7165997	449956.0505	4440622.317	21	308
3	2	0.67	0.4	2	243.3	678.1706141	1152.977728	453148.1826	4440869.786	20	785
4	0	0.68	0.4	6.8	419.3	1887.548059	1099.374091	451841.4028	4440813.401	37	1680
1	2	1.38	0.36	1.3	71.5	4140.705556	952.7528464	449513.6923	4440536.147	33	305
2	0	1.87	0.4	4.55	121.1	1088.00175	1011.227525	454400.9457	4440330.95	35	780
2	2	1.2	0.66	4	173.4	4682.214389	379.3248914	449692.8888	4443789.175	37	689
1	2	1.3	0.3	2.4	143	3087.052115	1153.004023	448150.3633	4439352.456	24	850
1	2	1.38	0.35	1.3	87	2980.577588	570.6492952	450633.7589	4439062.401	25	350
1	2	1.08	0.3	1.5	85.5	3558.669285	1060.946718	447801.5881	4439744.657	19	328
2	1	1.6	0.38	1	141	3824.123331	700.3588971	449868.3764	4440815.08	21	330
2	2	2.36	0.4	0.9	89	3101.249681	314.7225095	450616.7733	4440719.09	40	420
2	2	1.2	0.3	2.3	262	847.1445694	1029.366558	453128.7816	4440654.181	41	1400
4	2	0.38	0.59	4.6	409.7	5306.419366	700.0521623	449217.2891	4444203.538	28	1500
4	2	1.03	0.35	1.6	198.7	3132.845378	446.6113927	450427.5743	4439495.199	25	938
3	2	0.45	0.3	1	227.7	868.4869585	282.7425912	452705.31	4439799.035	26	950
4	0	1	0.4	6.5	211.1	4435.552252	168.5833209	450077.817	4443916.992	39	830
2	2	3.8	0.3	4.53	140	674.7639714	730.2670895	453915.5439	4440684.815	42	600
6	0	0.5	0.5	2	563	971.3005129	1205.924992	452724.4253	4441060.539	36	3999
5	3	2.5	0.3	2.95	305.8	86.06491645	594.7926785	449007.3151	4431596.465	15	2000
1	2	2	0.3	1.05	101	885.5192015	455.6543888	446156.5722	4427877.403	20	780
1	2	4.2	0.3	2.3	56.3	792.9508437	676.9626649	445869.4918	4428830.638	26	498
1	3	2	0.5	1.4	85.2	948.8395237	830.3970723	446080.5727	4428286.615	22	738
2	1	2.4	0.32	0.8	91.3	555.788383	227.8477562	445335.4294	4428992.294	20	719
1	2	2.75	0.3	3.18	61	1051.610775	755.8715213	445811.9607	4428540.549	28	370
2	2	2	0.3	1.38	90.7	773.3868031	555.3529061	446038.6915	4428952.826	16	643
2	2	2	0.34	3.5	179.3	706.3326768	562.4036711	445901.3784	4428942.018	29	1980
1	2	2.4	0.2	1.46	78.5	1071.008083	925.0270512	446034.9814	4428581.361	19	585
3	0	1.2	0.3	3.7	210	472.2449473	772.6600676	451353.7459	4433247.754	27	2180
1	2	4	0.3	2.58	37.6	1053.27326	845.6310351	445925.0462	4428573.424	26	270
4	1	2.1	0.15	1.2	468	338.9305402	307.9780119	438211.5786	4419774.88	36	4699
2	2	2.5	0.2	2.6	171.3	758.1209179	314.7266995	439946.1711	4420518.677	20	1560
1	1	0.4	0.2	0.8	83	340.4711857	106.1898011	439876.2328	4420946.49	9	859
1	1	2.56	0.3	0.8	106.5	402.8898126	147.3526118	439685.3228	4412003.855	34	645
1	2	3	0.2	1.01	58.3	373.4091089	108.6143188	439996.1046	4420900.012	11	620
1	2	1.2	0.2	0.9	82.6	418.8040223	105.4283824	468004.6718	4416749.459	21	240
2	1	1.3	0.3	1	136.3	1379.212566	440.0327212	443038.0327	4399505.047	25	880
1	2	2	0.45	3.9	80	1152.047344	499.0693183	458086.313	4419654.846	31	580
1	2	1.2	0.3	2.3	67.2	478.705337	773.4606333	440641.9359	4435464.058	27	470
4	2	2.8	0.35	1.5	400.7	428.2749289	628.068098	466170.2702	4419162.687	34	3160
2	2	2.88	0.33	3.46	169.8	955.361721	1015.821642	451491.6703	4433714.183	37	1520
6	0	0.5	0.4	1.8	528	779.555351	415.1705325	450925.5476	4434056.817	38	5190
2	2	1.6	0.3	2.5	88.6	940.4000447	677.3154274	450970.7769	4433653.322	38	1088
4	2	0.7	0.33	5.7	403.6	864.9072593	888.1717182	451259.7812	4433639.76	29	3880
2	2	2.28	0.55	4.48	198	408.7960768	597.2010283	448553.0921	4431569.397	28	1830
2	2	2.34	0.3	2.45	114.8	395.8611724	660.5022247	451679.9909	4432921.596	35	1178
2	2	2.4	0.3	2.98	117.9	1148.240331	291.6364956	450322.4991	4433363.875	33	960
1	1	2	0.4	0.98	110.2	897.4801052	408.0267938	450412.4357	4432756.706	20	490
1	2	3.2	0.4	2.98	83.9	93.69751581	527.9733349	450649.5809	4431774.443	33	712
3	1	1.12	0.4	2.98	386.7	699.9397311	338.8332917	450829.5496	4433286.34	36	2850
2	1	2.27	0.3	3.5	178	548.9675606	591.3290129	451096.08	4433282.826	31	1450
5	2	0.9	0.4	3.5	207	1183.054366	130.4021387	449952.0436	4434080.002	30	1798
1	0	1.13	0.35	0.5	57.1	461.4804772	330.8617237	450213.8495	4431798.786	1	420
2	2	2	0.4	1.31	107.5	1082.297633	162.4262087	449905.033	4432950.069	28	777
1	2	2.5	0.4	1.26	83.7	649.673083	324.8929529	450698.886	4432558.857	22	512
1	2	2.5	0.3	0.9	81.4	870.6161632	95.93790164	449806.7709	4432065.668	32	550
3	2	2.45	0.32	2.5	158.7	851.659717	264.3999078	449608.4002	4432644.251	28	1100
1	1	3	0.4	1.38	98.4	466.2779445	595.9744395	450335.3424	4432188.563	25	545
1	2	3.4	0.4	1.38	106.7	251.5217589	497.8302135	450662.6206	4432128.54	23	568
1	2	2.27	0.3	3.5	55.3	304.2391355	456.4366134	451054.5808	4432943.234	32	408
1	2	2.72	0.3	3.5	94.5	801.8273185	239.6643508	450703.8228	4433302.291	35	888
3	2	1.72	0.7	4.5	214.5	526.0157552	370.0454859	449511.9549	4431632.561	27	1750
1	2	2	0.35	1.2	131.5	652.8802441	371.8892699	450017.7522	4431887.334	22	659
2	2	2.27	0.3	3.5	65.4	730.0455329	165.273714	450684.8774	4433155.007	33	655
